Country,Specialized Centers,Genetic & Molecular Testing Infrastructure (1–5),Overall Average_x,Treatment Access,Research Funding,Awareness Campaigns,Overall Average.1_x,Survival Rates,Early Detection,Palliative Care,Overall Average.2,PSA,TMPRSS2-ERG,PTEN,Unnamed: 4,Overall Average_y,Clinical Guideline Implementation (1-5),Feasibility of Integration (1-5),Adoption of Int'l Guidelines (1-5),Engagement with Updates (1-3),ESMO Guidelines Implementation (1-5),Overall Average.1_y,Reimbursement Framework,No-cost Access,Prostate Cancer Screening
South Africa,3,3,3,3,3,3,3,2,3,2,2.3,60,20,15,32,1.6,4,3,3,2,3,3,2,2,"Opportunistic PSA testing, no national screening"
Kenya,1,2,1.5,1,1,1,1,1,1,1,1,30,10,5,15,0.8,2,2,2,1,1,1.6,1,1,"No national program, limited PSA availability"
Nigeria,1,2,1.5,1,1,1,1,1,1,1,1,30,10,5,15,0.8,2,2,2,1,1,1.6,1,1,No national screening program
Egypt,2,3,2.5,2,2,2,2,2,2,2,2,50,20,15,28,1.4,3,3,3,2,2,2.6,2,2,PSA testing available;  no national program
Morocco,2,3,2.5,2,2,2,2,2,2,2,2,45,15,10,23,1.2,2,2,2,1,1,1.6,2,2,Limited regional PSA programs
Algeria,2,2,2,2,2,2,2,2,2,2,2,45,15,10,23,1.2,2,2,2,1,1,1.6,2,2,"No national screening, awareness programs underway"
Ethiopia,1,1,1,1,1,1,1,1,1,1,1,20,5,5,10,0.5,1,1,1,1,1,1,1,1,No national screening program
India,3,3,3,3,3,3,3,3,3,3,3,40,15,10,22,1.1,3,3,3,2,2,2.6,1,1,"Opportunistic PSA testing, limited access"
Japan,5,5,5,4,4,5,4.3,5,4,5,4.7,20,15,10,15,0.8,4,4,3,2,3,3.2,2,2,PSA testing part of municipal-level screening (varies by region)
South Korea,5,5,5,4,4,5,4.3,5,4,4,4.3,25,20,15,20,1,4,4,4,2,3,3.4,3,3,PSA testing for men 50+ as part of national health check-up
China,3,4,3.5,3,3,3,3,3,3,3,3,30,15,10,18,0.9,3,3,3,2,2,2.6,2,2,Regional programs and opportunistic PSA testing
Thailand,3,3,3,2,3,2,2.3,2,2,2,2,50,20,15,28,1.4,3,3,3,2,2,2.6,2,2,PSA screening for men 50+ in higher-risk groups
Singapore,5,5,5,4,5,5,4.7,5,5,5,5,70,30,25,42,2.1,5,5,5,3,4,4.4,3,3,Opportunistic PSA testing (50–75 years)
United Kingdom,5,5,5,4,5,5,4.7,5,5,5,5,80,40,35,52,2.6,5,5,5,3,5,4.6,3,2,"PSA testing available on request, no organized screening program"
Germany,5,5,5,5,5,5,5,5,5,5,5,85,50,45,60,3,5,5,5,3,5,4.6,3,3,Annual PSA test and DRE for men aged 45+
France,5,5,5,4,4,4,4,5,4,4,4.3,80,45,40,55,2.8,5,5,5,3,5,4.6,3,3,Opportunistic PSA testing
Netherlands,5,5,5,5,5,5,5,5,5,5,5,85,50,45,60,3,5,5,5,3,5,4.6,3,3,No organized screening;  PSA testing on request
Sweden,5,5,5,5,5,5,5,5,5,5,5,85,50,45,60,3,5,5,5,3,5,4.6,3,3,Opportunistic screening;  pilot programs being evaluated
Italy,5,4,4.5,4,4,4,4,5,4,4,4.3,80,45,40,55,2.8,5,5,5,3,5,4.6,3,3,Opportunistic PSA testing
Spain,5,4,4.5,4,4,4,4,5,4,4,4.3,80,40,35,52,2.6,5,5,5,3,5,4.6,3,3,Opportunistic PSA testing
Poland,3,4,3.5,3,3,3,3,3,3,3,3,75,35,30,47,2.3,4,4,4,2,4,3.6,3,2,PSA screening available in some regions;  opportunistic
Mexico,3,3,3,2,3,3,2.7,2,2,2,2,55,25,20,33,1.7,3,3,3,2,3,2.8,2,2,Opportunistic PSA testing
Brazil,3,3,3,2,3,3,2.7,3,3,3,3,60,30,25,38,1.9,4,4,4,2,4,3.6,3,3,PSA testing recommended every 2 years (50–74 years)
Argentina,3,3,3,2,3,3,2.7,3,3,3,3,55,25,20,33,1.7,4,4,4,2,4,3.6,3,3,"PSA testing commonly used, opportunistic"
Chile,3,3,3,2,3,3,2.7,3,3,3,3,55,25,20,33,1.7,4,4,4,2,4,3.6,2,2,PSA testing recommended for men 50+
Colombia,2,3,2.5,1,2,2,1.7,2,2,2,2,50,25,20,32,1.6,3,3,3,2,3,2.8,2,2,PSA screening integrated into public health services
United States,5,5,5,5,5,5,5,5,5,5,5,85,45,40,57,2.8,5,5,5,3,5,4.6,2,2,PSA testing offered after age 50 (shared decision-making)
Canada,5,5,5,5,5,5,5,5,5,5,5,80,40,35,52,2.6,5,5,5,3,5,4.6,2,2,PSA testing not recommended for general screening;  available with shared decision-making
Australia,5,5,5,4,4,4,4,5,4,4,4.3,80,45,40,55,2.8,5,5,5,3,5,4.6,3,3,"PSA testing every 2 years (50–69 years, informed decision)"
New Zealand,4,4,4,3,3,3,3,4,4,3,3.7,80,45,40,55,2.8,5,5,5,3,5,4.6,3,3,"PSA testing available via GP, no organized program"
Greece,3,4,3.5,3,3,3,3,3,3,3,3,70,35,30,45,2.3,4,4,4,2,4,3.6,3,3,"Opportunistic screening, mostly in urban centers"
Rwanda,1,1,1,1,1,1,1,1,1,1,1,15,5,2,7,0.4,1,1,1,1,1,1,1,1,No national screening program
Uganda,1,1,1,1,1,1,1,1,1,1,1,20,5,2,9,0.5,1,1,1,1,1,1,1,1,No national screening program
Serbia,3,3,3,2,3,3,2.7,2,3,2,2.3,55,25,20,33,1.7,4,4,4,2,4,3.6,2,2,Opportunistic PSA screening for men 50+
Saudi Arabia,4,4,4,4,4,4,4,4,4,4,4,55,25,20,33,1.7,4,4,4,2,4,3.6,2,2,"Opportunistic PSA testing is available, mostly in private or urban healthcare settings. No national screening program exists."
UAE,4,4,4,4,4,4,4,4,4,4,4,60,30,25,38,1.9,4,4,4,2,4,3.6,2,2,"PSA testing is offered opportunistically, especially through private hospitals; awareness is growing but there is no organized screening system."
Syria,1,1,1,1,1,1,1,1,1,1,1,30,10,5,15,0.8,1,1,1,1,1,1,1,1,"Due to ongoing conflict and fragile healthcare infrastructure, no national prostate cancer screening program exists; PSA testing is highly limited."
Indonesia,2,2,2,2,2,2,2,2,2,2,2,45,25,20,30,1.5,3,3,3,2,2,2.6,2,2,"Opportunistic PSA testing is available in some urban areas and private hospitals, but there is no national screening policy."
Vietnam,2,3,2.5,2,2,3,2.3,2,2,2,2,30,10,10,17,0.8,3,3,3,2,2,2.6,2,2,PSA testing is accessible in urban tertiary care centers;  no organized screening program is in place. Opportunistic screening occurs in higher-risk patients.
Philippines,2,3,2.5,2,2,3,2.3,2,2,2,2,45,25,20,30,1.5,3,3,3,2,2,2.6,2,2,"PSA screening is mostly opportunistic, facilitated through private sector initiatives or NGOs. No formal government-led screening exists."
Russia,4,4,4,4,4,4,4,4,4,3,3.7,60,35,30,42,2.1,4,3,3,2,3,3,2,2,"PSA testing is commonly used in clinical practice in urban settings; however, there is no unified national screening program, and regional disparities exist."
Malaysia,3,2,2.5,3,2,3,2.7,3,2,3,2.7,95,30,35,53,2.7,3,3,3,1,3,2.6,0,0,na
